LANG_KEY|LANG_1|LANG_2
Single|فردي|Single
National Journal|المجلة الوطنية|National Journal
International Journal|المجلة الدولية|International Journal
National Conference|مؤتمر وطني|National Conference
International Conference|مؤتمر دولي|International Conference
Secretary|سكرتير|Secretary
Doctoral|دكتوراة|Doctoral
Master’s|ماجستير|Master’s
Bachelor’s|بكالوريوس|Bachelor’s
Thesis|أطروحة|Thesis
Main Author|المؤلف الرئيسي|Main Author
Co – Author|مساعد المؤلف|Co – Author
Exhibition|معرض|Exhibition
Used by others|مستخدم من قبل الغير|Used by others
Internal|داخلي|Internal
Course Evaluations|تقييمات المادة الدراسية|Course Evaluations
Quality Efforts Contribution|جودة الجهود المساهمة|Quality Efforts Contribution
Research Contributions|المساهمات البحثية|Research Contributions
Administrative Work Contribution|المساهمة بالعمل الإداري|Administrative Work Contribution
Societal Responsibility Contribution|المساهمة بالمسؤولية الإجتماعية|Societal Responsibility Contribution
and above|فما فوق|and above
Band Performance Legend for work contribution (as reported in Faculty Portfolio. Assessment is on % of initiative taken for work accomplished)|مسميات التوضيحية لأداء الفرق الخاصة بالمساهمة في العمل ( كما ورد في  ملف عضو الهيئة التدريسية، التقييم بالنسبة المئوية للمبادرة المتخذة للعمل المنجز)|Band Performance Legend for work contribution (as reported in Faculty Portfolio. Assessment is on % of initiative taken for work accomplished)
Band Performance Legend for Initiative (As reported in Faculty Portfolio. Assessment is on % of initiative taken for work accomplished)|المسميات التوضيحية لأداء الفرق الخاصة بالمبادرات ( كما ورد في  ملف عضو الهيئة التدريسية، التقييم بالنسبة المئوية للمبادرة المتخذة للعمل المنجز)|Band Performance Legend for Initiative (As reported in Faculty Portfolio. Assessment is on % of initiative taken for work accomplished)
First Author (100% for sole author)|المؤلف الأول ( 100% للمؤلف الوحيد )|First Author (100% for sole author)
Work as assigned (e.g. Committee, additional departmental work, etc.) Please describe|يرجى تقديم وصف للعمل المعين ( مثل: اللجنة، العمل الإضافي في الأقسام...)|Work as assigned (e.g. Committee, additional departmental work, etc.) Please describe
Admin. Work Score (%)|نقاط عمل المشرف (%)|Admin. Work Score (%)
Band Performance Legend for participation contribution (as reported in Faculty Portfolio. Assessment is on % of initiative taken for work accomplished)|المسميات التوضيحية لأداء الفرق الخاصة بالمساهمة في المشاركة ( كما ورد في  ملف عضو الهيئة التدريسية، التقييم بالنسبة المئوية للمبادرة المتخذة للعمل المنجز)|Band Performance Legend for participation contribution (as reported in Faculty Portfolio. Assessment is on % of initiative taken for work accomplished)
Societal Responsibility Score (%)|درجة المسؤولية المجتمعية ( % )|Societal Responsibility Score (%)
Overall Performance Score (%)|درجة الأداء الكلي ( % )|Overall Performance Score (%)
saturday|السبت|Saturday
sunday|الأحد|Sunday
monday|الاثنين|Monday
tuesday|الثلاثاء|Tuesday
wednesday|الأربعاء|Wednesday
thursday|الخميس|Thursday
friday|الجمعة|Friday
admin_entered_due_date_to_node|المشرف ادخل الموعد النهائي للنموذج|Admin entered due date to node
admin_add_user_on_node|أضاف المشرف مستخدم على النموذج|ِAdmin add user on node
assessor_finished_entering_forms_data|المقيّم أنهى إدخال معلومات النماذج |Assessor finished entering forms data
all_form_data_enterd_and_checked_correctly|جميع بيانات النموذج مدخلة ودققت بشكل صحيح |All form data enterd and checked correctly
form_data_incorrect_or_not_enterd|بيانات النموذج غير صحيحة أو غير مدخلة|Form data incorrect or not enterd
survey_invitation|دعوة للاستبيان|Survey invitation
survey_alumni_invitation|دعوة الخريج للاستبيان|Survey alumni invitation
survey_employer_invitation|دعوة أصحاب العمل للاستبيان|Survey employer invitation
survey_reminder|تذكير الاستبيان|Survey reminder
forgot_password|نسيت كلمة السر|Forgot password
alumni_employer_created| إنشاء الخريجين - أصحاب العمل|Alumni employer created
email_received|استلام بريد إلكتروني|Email received
remind_user_to_fill|تذكير المستخدم لتعبئة|Remind user to fill
Required Material|مادة مطلوبة|Required Material
Recommended Material|مادة مقترحة|Recommended Material
Support Material|مادة الدعم|Support Material
Course Learning Outcome (CLO)|مخرجات التعلم للمادة الدراسية (CLO)|Course Learning Outcome (CLO)
teaching_material|المادة التعليمية|Teaching Material
support_material|مادة الدعم|Support Material
Syllabus Catalogue Info|مخطط المادة الدراسية (معلومات الفهرس)|Syllabus ( Catalogue Info )
Syllabus Instructor Info|مخطط المادة الدراسية (معلومات المدرس)|Syllabus (Instructor Info )
Syllabus Required Materials|مخطط المادة الدراسية (المواد المطلوبة)|Syllabus ( Required Materials )
Syllabus Course Description|مخطط المادة الدراسية ( وصف المادة الدراسية )|Syllabus ( Course Description )
Syllabus Course Calendar|مخطط المادة الدراسية ( تقويم المادة الدراسية )|Syllabus ( Course Calendar )
Syllabus Course Policies|مخطط المادة الدراسية ( سياسة المادة الدراسية )|Syllabus ( Course Policies )
Syllabus Support Service|مخطط المادة الدراسية ( خدمات الدعم )|Syllabus ( Support Service )
Teaching Material|المادة التعليمية|Teaching Material
Support Material|مادة الدعم|Support Material
No changes according to the last result|لا يوجد تغييرات نسبة إلى النتائج الأخيرة|No changes according to the last result
Better than last result|أفضل من النتائج الأخيرة|Better than last result
Worst than last result|أسوأ من النتائج الأخيرة|Worst than last result
Achieved on time|أنجزت في الوقت المحدد|Achieved on time
Not achieved on time|لم تنجز في الوقت المحدد|Not achieved on time
learning_and_growth|التعلم والنمو|Learning and Growth
internal_processes|عمليات داخلية|Internal Processes
customer|عميل|Customer
finance|مالية|Finance
Perspective(s)|المناظير|Perspective(s)
Perspective|منظور|Perspective
Orm_Al_Assessment_Loop_Custom|مخصص|Custom
Orm_Al_Assessment_Loop_Objective|غاية|Objective
Orm_Al_Assessment_Loop_Clo|مخرجات التعلم للمادة الدراسية|Course Learning Outcomes ( CLO )
Orm_Al_Assessment_Loop_Plo|مخرجات التعلم للبرنامج|Program Learning Outcomes ( PLO )
Orm_Al_Assessment_Loop_Kpi|KPI|KPI
Refresh|تحديث|Refresh
KPI Dimensions (Legends)|أبعاد مؤشرات الأداء (المسميات التوضيحية )|KPI Dimensions (Legends)
Between any two different deadlines must be one day|عند إضافة موعد نهائي جديد ، يجب التأكد أن الفرق بين نهاية الموعد النهائي السابق وبداية الموعد النهائي الجديد يوم واحد|when add a new deadline make sure that between the end of the previous deadline and the start of the new one is one day
Introduction|مقدمة|Introduction
Proficient|بارع|Proficient
Advanced|متقدم|Advanced
Assignment Bank|بنك الوظيفة|Assignment Bank
Student Attendees|حضور الطلاب|Student Attendees
Find Course Learning Outcome|إيجاد مخرجات تعلم المادة الدراسية|Find Course Learning Outcome
Find Program Learning Outcome|إيجاد مخرجات التعلم للبرنامج|Find Program Learning Outcome
You have to choose course|يجب اختيار مادة دراسية|You have to choose course
You have to choose program|يجب اختيار برنامج|You have to choose program
You have nothing to fill|لا يوجد ما يحتاج للتعبئة|You have nothing to fill
College not exist|لا تملك بيانات خاصة بالكلية، أقسامها، وبرامجها ، يرجى التواصل مع مشرف النظام لتحديث البيانات الخاصة بك|You Don't have an Information for college, Departments, and Programs, please contact with system admin to update your information
Program not exist|لا تملك بيانات خاصة بالبرنامج، يرجى التواصل مع مشرف النظام لتحديث البيانات الخاصة بك|You Don't have an Information for your program, please contact with system admin to update your information
Award Management|إدارة الجائزة|Award Management
This Award has candidate user, You Can't remove it|هذه الجائزة لديها مرشح ، لا يمكن حذفها|This Award has candidate user, You Can't remove it
Award Name|اسم الجائزة|Award Name
Award Description|وصف الجائزة|Award Description
Award Candidate|مرشح الجائزة|Award Candidate
Select Candidate|اختر مرشح|Select Candidate
Find Candidate|البحث عن مرشح|Find Candidate
Award Winner|فائز بالجائزة|Award Winner
Find winner|البحث عن فائز|Find winner
Received award|حاصل على الجائزة|Received award
Candidate|مرشح|Candidate
Candidate Name|اسم المرشح|Candidate Name
Created By|أنشئت من قبل|Created By
Candidate Management|إدارة المرشح|Candidate Management
Winner Management|إدارة الفائز|Winner Management
Award Settings|إعدادات الجائزة|Award Settings
Winner|الفائز|Winner
Select Winner|اختر فائز|Select Winner
Award Information|معلومات الجائزة|Award Information
Award has Entered|جائزة تم إدخالها|Award has Entered
Award Date|تاريخ الجائزة|Award Date
Winner for this award|فائز بهذه الجائزة|Winner for this award
Candidate for this award|مرشح لهذه الجائزة|Candidate for this award
Description for this Award|وصف الجائزة|Description for this Award
This Award has winner user, You Can't remove it|هذه الجائزة تحتوي على رابح، لا يمكن حذفها|This Award has winner user, You Can't remove it
This winner has received award , You Can't remove it|حصل هذا الفائز على جائزة لا يمكن حذفه|This winner has received award , You Can't remove it
This user already has won this award|حاز هذا المستخدم على هذه جائزة مسبقاً|This user already has won this award
This user already has candidate this award|هذا المستخدم مرشح لنيل هذه الجائزة |This user already has candidate this award
Award|جائزة|Award
Candidates|مرشحين|Candidates
Project Management|إدارة المشروع|Project Management
Create new project|إنشاء مشروع جديد|Create new project
There's no project!|لا يوجد مشروع|There's no project!
Create new phase|إنشاء مرحلة جديدة|Create new phase
There's no type of project belong to your request!|لا يوجد هذا النوع من المشاريع التي تنتمي إلى طلبك|There's no type of project belong to your request!
Manage phases|إدارة المراحل|Manage phases
Bad request please try again!|طلب سيء يرجى المحاولة مرة أخرى|Bad request please try again!
Invalid phase name|اسم المرحلة خاطئ|Invalid phase name
This phase has sub-phase/s with start date less than selected date|هذه المرحلة تحتوي على مراحل فرعية مع تاريخ بدء أقل التاريخ الذي تم اختياره|This phase has sub-phase/s with start date less than selected date
This phase has sub-phase/s with end date bigger than selected date|هذه المرحلة تحتوي على مراحل فرعية مع تاريخ انتهاء أكبر من التاريخ الذي تم اختياره|This phase has sub-phase/s with end date bigger than selected date
Budget should hold a numeric value|الميزانية يجب أن تكون قيمة رقمية|Budget should hold a numeric value
This project has phase/s with start date less than selected date|هذا المشروع يحتوي على مراحل بتاريخ بدء أقل من التاريخ الذي تم اختياره|This project has phase/s with start date less than selected date
This project has phase/s with end date bigger than selected date|هذا المشروع يحتوي على مراحل بتاريخ انتهاء أكبر من التاريخ الذي تم اختياره|This project has phase/s with end date bigger than selected date
Create new sub-phase|إنشاء مرحلة فرعية|Create new sub-phase
Manage sub-phases|إدارة المراحل الفرعية|Manage sub-phases
Invalid sub-phase name|اسم المرحلة الفرعية خاطئ|Invalid sub-phase name
Invalid sub-phase responsible|المسؤول عن المرحلة الفرعية خاطئ|Invalid sub-phase responsible
Display Project Progress|عرض تقدم المشروع|Display Project Progress
Assigned sub-phases|تعيين المراحل الفرعية|Assigned sub-phases
Phase|مرحلة|Phase
Sub-Phase|مرحلة فرعية|Sub-Phase
Work progress|تقدم العمل|Work progress
Uncompleted|غير مكتمل|Uncompleted
Sub-phases Assigned to me|المرحل الفرعية الموكلة إلي|Sub-phases Assigned to me
Sub-Phase info|بيانات المرحلة الفرعية|Sub-Phase info
Sub-phases assigned to you|مراحل فرعية موكلة إليك|Sub-phases assigned to you
Strategic Projects|مشاريع استراتيجية|Strategic Projects
Customized projects|مشاريع مخصصة|Customized projects
Display Progress|عرض التقدم|Display Progress
phases|المراحل|Phases
Phase Name|اسم المرحلة|Phase Name
This project has no phases yet|هذا المشروع لا يحتوي على مراحل|This project has no phases yet
Sub-phase Name|اسم المرحلة الفرعية|Sub-phase Name
Sub-phase Status|حالة المرحلة الفرعية|Sub-phase Status
Sub-phase responsible|المسؤول عن المرحلة الفرعية|Sub-phase responsible
Training Management|إدارة الدورات التدريبية|Training Management
General Training Management|إدارة الدورات العامة|General Training Management
The request for joining this training  successfully sent|تم ارسال طلب الانضمام للدورة بنجاح|The request for joining this training  successfully sent
Training|دورة|Training
Training Request|طلبات الانضمام للدورة|Training Request
Request Approved successfully|تمت الموافقة على الطلب بنجاح|Request Approved successfully
Request Ignored|تم رفض الطلب|Request Ignored
Please Enter Duration|يرجى إدخال المدة الزمنية|Please Enter Duration
Please Enter Date of Training|يرجى إدخال تاريخ الدورة|Please Enter Date of Training
Please Select Type|يرجى اختيار نوع|Please Select Type
Please Enter Location|يرجى إدخال الموقع|Please Enter Location
Please enter Instructor Information|يرجى إدخال بيانات المدّرب|Please enter Instructor Information
Please enter Outline|يرجى إدخال مخطط الدورة|Please enter Outline
Please Select at least one college|يرجى إدخال كلية واحدة على الأقل|Please Select at least one college
Please Select at least one Program|يرجى اختيار برنامج واحد على الأٌل|Please Select at least one Program
This training are mapped with survey you can't remove it|هذه الدورة مرتبطة باستبيان، لا يمكنك حذفها|This training are mapped with survey you can't remove it
This type mapped with a training, you can't remove it|هذا النوع مرتبط بدورة، لا يمكن حذفه|This type mapped with a training, you can't remove it
Certified Members|المنتسبون للدورة|Certified Members
Please select a Certified Member|يرجى اختيار منتسب للدورة|Please select a Certified Member
Invited Successfully|تم إرسال الدعوة بنجاح|Invited Successfully
Before|قبل|Before
After|بعد|After
Public|عام|Public
Private|خاص|Private
Organizations|الجهات المنظمة|Organizations
Are you sure that you want Join training?|هل أنت متأكد أنك تريد الانضمام لهذه الدورة ؟|Are you sure that you want Join training?
Join|انضمام|Join
Pending|قيد الانتظار|Pending
Approve|موافق|Approve
Ignore|رفض|Ignore
Requests|طلبات|Requests
Certified Member|منتسب للدورة|Certified Member
Survey Mapped with this training|استبيان مرتبط بالدورة|Survey Mapped with this training
Invite|دعوة|Invite
Training Management Type|أنواع الدورات|Training Management Type
Training Status|حالة الدورة|Training Status
Survey Mapping|ربط الاستبيان|Survey Mapping
Manage Survey|إدارة الاستبيان|Manage Survey
Training Date|تاريخ الدورة|Training Date
Training Duration|المدة الزمنية للدورة|Training Duration
Training Location|مكان عقد الدورة|Training Location
Training Organization|منظمي الدورة|Training Organization
Outlines|مخططات الدورة|Outlines
General Description|وصف عام|General Description
Memebers|الأعضاء|Memebers
survey_training|استبيان الدورة|Survey Training
join_training|الانضمام للدورة|Join Training
ignore_training|رفض طلب الانضمام للدورة|Ignore Join Training
approve_training|قبول طلب الانضمام للدورة|Approve Join Training
You Must select at Least one Student|يجب اختيار طالب واحد على الأقل|You Must select at Least one Student
Meeting Advising Group|إجتماع الفريق الاستشاري|Meeting Advising Group
join_training|طلب الانضمام لدروة تدريبية|Join Training Request
ignore_training|رفض طلب الانضمام|Ignore Training Request
approve_training|قبول طلب الانضمام|Approve Training Request
survey_advisory|استبيان الاستشاري|Survey Advisory
All Gender|جميع الأجناس|All Gender
admin|مشرف|Admin
success|نجاح|Success
Receiver Role|المسمى الوظيفي للمستقبل|Receiver Role
Receiver Email|البريد الإلكتروني للمستقبل|Receiver Email
Receiver Name|اسم المستقبل|Receiver Name
Sender Role|المسمى الوظيفي للمرسل|Sender Role
Sender Email|البريد الإلكتروني للمرسل|Sender Email
Sender Name|اسم المرسل|Sender Name
Review Comment|تعليق المراجعة|Review Comment
Review Status|حالة المراجعة|Review Status
Process Status|حالة التقدم|Process Status
Node Name|اسم النموذج|Node Name
Team Formation|تشكيل فريق|Team Formation
Advisory|استشاري|Advisory
Assessment Metric|مقياس التقييم|Assessment Metric
General Feedback|ملاحظات عامة|General Feedback
Industrial Skills|المهارات الصناعية|Industrial Skills
Risk Management|إدارة المخاطر|Risk Management
Skills Transcript|المهارات الفعلية|Skills Transcript
Highest Mark|اعلى درجة|Highest Mark
Please choose a test.|يرجى اختيار الامتحان|Please choose a test.
Per page|لكل صفحة|Per page
you will lose learning outcomes if you change the type several times|سوف تفقد مخرجات التعلم إذا قمت بالتعديل على نوع مجال التعلم أكثر من مرة|you will lose learning outcomes if you change the type several times
Learning Domain Types|انواع مجالات التعلم|Learning Domain Types
Domain Type|نوع المجال|Domain Type
Please select learning domain type|يرجى اختيار أحد انواع مجالات التعلم|Please select learning domain type
Sections was added successfully|تمت إضافة الشعب الدراسية بنجاح|Sections was added successfully
for|ل|for
institution|مؤسسة|Institution
program|برنامج|Program
Push To AIMS|ربط مع نظام AIMS|Push To AIMS
Target should hold a numeric value|يجب ان تكون فيمة الهدف رقم|Target should hold a numeric value
Target Should Be Bigger Than 0|يجب أن تكون قيمة الهدف أعلى من 0|Target Should Be Bigger Than 0
Target Should Be Less Than Or Equal 100|قيمة الهدف يجب أنو تكون اقل أو تسواي 100|Target Should Be Less Than Or Equal 100
All surveys|جميع الاستبيانات|All surveys
All tests|جميع الختبارات|All tests
Target must be equal or greater than zero|يجب أن تكون قيمة الهدف أعلى من صفر|Target must be equal or greater than zero
Select Domain Type|اختر نوع مجال التعلم|Select Domain Type
"X-Matrix
"|المصفوفة - X|"X-Matrix
"
IPMA-Matrix|مصفوفة - IPMA|IPMA-Matrix
Assessment Matrix|مصفوفة التقييم|Assessment Matrix
Assigned To Me|الموكلة إلي|Assigned To Me
Introduced|قدم|Introduced
Practiced|خبير|Practiced
Mastery|تفوق|Mastery
Assessed|تقييم|Assessed
You miss answer this skill|يجب عليك الإجابة على هذه المهارة|You miss answer this skill
Answer Saved Successfully|تم حفظ الإجابة بنجاح|Answer Saved Successfully
Select Student|اختر طالب|Select Student
PLO has not Assessment Method|مخرجات التعلم لا تحتوي على طرق تقييم|PLO has not Assessment Method
PLO has Assessment Method|مخرجات التعلم للبرنامج تحتوي على طرق تقييم|PLO has Assessment Method
Sum Of Weight Should be Less Than 100|مجموع الأوزان يجب أن لا يزيد عن 100|Sum Of Weight Should be Less Than 100
Weight Should Be Bigger Than 0|يجب أنو تكون قيمة الوزن أعلى من 0|Weight Should Be Bigger Than 0
Weight Should Be Less Than Or Equal 100|قيمة الوزن يجب أن تكون مساوية أو اقل من 100|Weight Should Be Less Than Or Equal 100
Component Value Should Be Bigger Than 0|قيمة المحتوى يجب أن تكون أكبر من 0|Component Value Should Be Bigger Than 0
Assessment Plan|خطة التقييم|Assessment Plan
Course Assessment Plan|خطة تقييم المادة الدراسية|Course Assessment Plan
Average Should Be Less Than Component Value Or Equal|معدل قيم المحتوى يجب أن يكون مساوٍٍ أو اقل من|Average Should Be Less Than Component Value Or Equal
Average Should Be Bigger Than 0|قيمة المعدل يجب أن تكون أكبر من 0|Average Should Be Bigger Than 0
All Domains|جميع المجالات|All Domains
Please Choose One Of Assessment Metric Type|يرجى اختيار أحد أنواع مقاييس التقييم|Please Choose One Of Assessment Metric Type
Orm_Am_Assessment_Metric_Objective|الغايات|Objectives
Orm_Am_Assessment_Metric_Clo|مخرجات التعلم للمواد الدراسية|Course Learning Outcomes Clo
Orm_Am_Assessment_Metric_Plo|مخرجات التعلم للبرامج|Program Learning Outcomes PLO
Orm_Am_Assessment_Metric_Kpi|KPI|KPI
Scale Count can't use be less than|عدد المستويات يجب أن لا يكون أقل من|Scale Count can't use be less than
Assessment Plan Title|عنوان خطة التقييم|Assessment Plan Title
PLO - CLO Matrix|مصفوفة CLO-PLO|PLO - CLO Matrix
C.L.O|م.ت.م|C.L.O
This Rubric has answers|هذا الموضوع تحتوي على إجابات|This Rubric has answers
X-Matrix to be displayed|مصفوفة -X ليتم عرضها|X-Matrix to be displayed
P.L.O|م.ت.ب|P.L.O
CLO Keywords |الكلمات المفتاحية ل CLO|CLO Keywords
Add Component|اضافة محتوى|Add Component
Component Value|قيمة المحتوى|Component Value
Assessment Weight|وزن المحتوى|Assessment Weight
Gradebook type|نوع دفتر العلامات|Gradebook type
Survey type|نوع الاستبيان|Survey type
Skill value Total should not greater than 100|مجموع قيم المهارة يجب أن لا يتجاوز 100|Skill value Total should not greater than 100
Skill value Total should not Less than 100|مجموع قيم المهارة يجب أن لا يقل عن  100|Skill value Total should not Less than 100
B1 (0% to 10%)|ب 1  ( 0% إلى 10% )|B1 (0% to 10%)
B2 (11% to 30%)|ب 2 (11% إلى 30%)|B2 (11% to 30%)
B3 (31% to 50%)|ب 3 (31% إلى 50% )|B3 (31% to 50%)
B4 (51% to 65%)|ب 4 ( 51% إلى 65% )|B4 (51% to 65%)
B5 (66% to 85%)|ب 5 ( 66% إلى 85% )|B5 (66% to 85%)
Inputs count not correct|عدد المدخلات غير صحيح|Inputs count not correct
B6 (85% to 100%)|ب 6 ( 85% إلى 100% )|B6 (85% to 100%)
Inputs incorrect|مدخل خاطئ|Inputs incorrect
Weight value should be between 0-100|قيمة الوزن تتراوح ما بين 0 - 100|Weight value should be between 0-100
Rubric not ready to publish|الموضوع غير جاهز للنشر|Rubric not ready to publish
Learning Domains Types|انواع مجالات التعليم|Learning Domains Types
Date entered is not correct|التاريخ المدخل خاطئ|Date entered is not correct
Static Forms|نماذج ثابتة|Static Forms
Assessment Metric Name|اسم مقياس التقييم|Assessment Metric Name
Assessment Metric Level|مستوى مقياس التقييم|Assessment Metric Level
Advance|متقدم|Advance
Simple|بسيط|Simple
Assessment Metric Type|نوع مقياس التقييم|Assessment Metric Type
Rate date is not correct|تاريخ النسبة غير صحيح|Rate date is not correct
Click Here|انقر هنا|Click Here
Rubric has unpublished|تم استرداد الموضوع|Rubric has unpublished
Please choose an exam|يرجى اختيار اختبار|Please choose an exam
Manage Invitation|إدارة الدعوات|Manage Invitation
Assessment Analysis|تحليل التقييم|Assessment Analysis
Final Result|النتيجة النهائية|Final Result
Weakness|نقاط الضعف|Weakness
Strength|نقاط القوة|Strength
Rubric Invitations|دعوات الموضوع|Rubric Invitations
Invitations|الدعوات|Invitations
Orm_User_Staff|العاملين|Staff
Orm_User_Student|الطلاب|Student
Orm_User_Faculty|هيئة التدريس|Faculty
From GradeBook|من دفتر العلامات|From GradeBook
None|لا شيء|None
Sum of Assessment Weight Should be 100 to View The Result and Final Result|لاظهار النتيجة النهائية لا بد أن يكون مجموع تقييم الأوزان مساوٍ ل 100|Sum of Assessment Weight Should be 100 to View The Result and Final Result
Final Result VS Target|النتيجة النهائية Vs الهدف|Final Result VS Target
Weakness has Entered|نقاط ضعف تم إدخالها|Weakness has Entered
Strength has Entered|نقاط قوة تم إدخالها|Strength has Entered
Inactivate|الغاء التفعيل|Inactivate
Are you sure You want to Inactive this user?|هل أنت متأكد أنك تريد الغاء التفعيل لهذا المستخدم ؟|Are you sure You want to Inactive this user?
User Activate Successfully|تم تفعيل المستخدم بنجاح|User Activate Successfully
User inactivate Successfully|تم الغاء تفعيل المستخدم بنجاح|User inactivate Successfully
Activate|تفعيل|Activate
Orm_Rb_Rubrics_Course|مادة دراسية|Course
Orm_Rb_Rubrics_Service|خدمات|Service
Orm_Rb_Rubrics_User|مستخدم|User
Summative|تلخيصي|Summative
Formative|تشكيلي|Formative
Please Choose One Of Rubric Classification|يرجى اختيار واحدة من تصنيف الموضوع|Please Choose One Of Rubric Classification
You have to select course|يجب اختيار مادة دراسية|You have to select course
Select Course|اختر مادة دراسية|Select Course
Student list|لائحة الطلاب|Student list
You have to enter service description|يجب ادخال وصف للخدمة|You have to enter service description
Select User|اختر مستخدم|Select User
Invitation|دعوة|Invitation
Date Added|تم إضافة التاريخ|Date Added
Number of scales|عدد المقاييس|Number of scales
Weight Type|نوع الوزن|Weight Type
Rubric Classification|تصنيف الموضوعات|Rubric Classification
Classification|تصنيف|Classification
Scales|مقاييس|Scales
Criterion|معيار|Criterion
Criteria Rate|نسبة الاعتماد|Criteria Rate
Faculty Didn't Submit Form|عضو هيئة تدريس لم يقدم النموذج|Faculty Didn't Submit Form
Assigned Rubrics|موضوعات محددة|Assigned Rubrics
Answer|الإجابة|Answer
Unpublished|إلغاء النشر|Unpublished
Time Range|النطاق الزمني|Time Range
Number of Evaluated Skills|عدد المهارات المقيّمة|Number of Evaluated Skills
Available Candidates|المرشحين المتاحين|Available Candidates
Please add at least one Input|يرجى إضافة مدخل واحد على الأقل|Please add at least one Input
Award Received|جائزة مستلمة|Award Received
Recieved|مستلم|Recieved
Not Recieved|غير مستلم|Not Recieved
Number of Assignments|عدد الوظائف|Number of Assignments
Please Select Users|يرجى اختيار مستخدمين|Please Select Users
Advisory Survey Evaluations|تقييم الاستبيان الاستشاري|Advisory Survey Evaluations
Student Members|أعضاء الطلاب|Student Members
Meeting|اجتماع|Meeting
Meeting List|لائحة الاجتماع|Meeting List
Program Advisory Performance|اداء استشاريي البرنامج|Program Advisory Performance
Advisory Meetings|اجتماعات المستشارين|Advisory Meetings
Rooms|غرف|Rooms
Orm_Mm_Meeting_Advisory|استشاري|Advisory
Members in this club|أعضاء في النادي|Members in this club
Search In Subscribe Club|البحث في النوادي المشترك بها|Search In Subscribe Club
My Clubs|النوادي الخاصة بي|My Clubs
Member in clubs|أعضاء النادي|Member in clubs
Invite to join clubs|دعوة للانضمام بالنادي|Invite to join clubs
Request to join clubs|طلب الانضمام للنادي|Request to join clubs
Most active clubs|الاندية الأكثر نشاطاً|Most active clubs
club created|نادي تم انشاؤه|club created
clubs to join|نوادي للانضمام|clubs to join
clubs you invited to|اندية تم دعوتك اليها|clubs you invited to
clubs you requested to join|اندية تم ارسال طلب انضمام لها|clubs you requested to join
Wall|حائط|Wall
Post|منشور|Post
Now|الآن|Now
Member Name|اسم العضو|Member Name
Member Type|نوع العضو|Member Type
Admin|مشرف|Admin
Club Creator|منشئ النادي|Club Creator
The club policies|تعليمات النادي|The club policies
Search In My Club|البحث في النوادي الخاصة بي|Search In My Club
Search In Invite Club|البحث في النوادي التي تم دعوتي لها|Search In Invite Club
Your Clubs|الأندية الخاصة بك|Your Clubs
Admin Clubs|مشرفي النادي|Admin Clubs
Posts privilege|صلاحيات النشر|Posts privilege
Gender privilege|صلاحيات الجنس|Gender privilege
Anyone can Post|أي أحد يمكنه النشر|Anyone can Post
Must approve the posts by admins and moderators|يجب الموافقة على طلب النشر من المشرفين|Must approve the posts by admins and moderators
Only the admins can post|فقط المشرفين من يمكنهم النشر|Only the admins can post
Both Gender can Join the group|كلا الجنسين بإمكانهم الانضمام للنادي|Both Gender can Join the group
Only Male can Join the group|فقط الذكور يمكنهم الانضمام للنادي|Only Male can Join the group
Only Female can Join the group|فقط الاناث يمكنهم الانضمام للنادي|Only Female can Join the group
Remove Member|إزالة عضو|Remove Member
Set Admin|وضع كمشرف|Set Admin
Unset Admin|إزالة مشرف|Unset Admin
Set Admin Successfully|تم إضافة مشرف بنجاح|Set Admin Successfully
Unavailable Resource|مصدر غير متوفر|Unavailable Resource
Unset Successfully|تمت الإزالة بنجاح|Unset Successfully
Invite Members|إضافة أعضاء|Invite Members
You do not have any clubs|لا يوجد لديك نوادي|You don't have any clubs
Committee Information|بيانات اللجنة|Committee Information
Committee has Entered|لجنة تم إدخالها|Committee has Entered
Please Select at least Two Members|يرجى اختيار عضوين على الأقل|Please Select at least Two Members
Equipment|معدات|Equipment
Equipment Management|إدارة المعدات|Equipment Management
Search Sub Phases|البحث في المراحل الفرعية|Search Sub Phases
Program Reports|تقارير البرنامج|Program Reports
Course Reports|تقارير المادة الدراسية|Course Reports
X-Matrix for|مصفوفة -X ل |X-Matrix for
OBJ|غ|OBJ
PLO to Program Objectives for|مخرجات التعلم لغايات البرنامج ل |PLO to Program Objectives for
Program Objectives Legends|المسميات التوضيحية لغايات البرنامج|Program Objectives Legends
Program Learning Outcomes Legends|المسميات التوضيحية لمخرجات التعلم للبرنامج|Program Learning Outcomes Legends
Assessment Loops for|دائرة التقييم ل|Assessment Loops for
Assessment loop Programs  to be displayed|دائرة التقييم للبرامج ليتم عرضها|Assessment loop Programs  to be displayed
Course Learning Outcomes Legends|المسميات التوضيحية لمخرجات التعلم للمادة الدراسية|Course Learning Outcomes Legends
No Result|لا يوجد نتائج|No Result
Skill Name|اسم المهارة|Skill Name
Score Note|ملاحظة الدرجة|Score Note
Score Name|اسم الدرجة|Score Name
Download PDF|تنزيل PDF|Download PDF
2 to 4 years|2 إلى 4 سنوات|2 to 4 years
5 to 7 years|5 إلى 7 سنوات|5 to 7 years
8 to 10 years|8 إلى 10 سنوات|8 to 10 years
Looking for Job|باحث عن وظيفة|Looking for Job
Continuing Further Studies|مواصلة الدراسات الإضافية|Continuing Further Studies
Employed in Public Sector|يعمل في القطاع العام|Employed in Public Sector
Employed in Private Sector|يعمل في القطاع الخاص|Employed in Private Sector
